"rules" "support" "confidence" "coverage" "lift" "count"
"2" "{HP ENVY x360 2-in-1 Laptop 15t-fe000} => {15.6,HP Z3700 Dual Black Mouse}" 0.00105246745146956 0.771428571428571 0.00136430965931239 732.971428571429 27
"4" "{HP OfficeJet Pro 7740 Wide Format Printer} => {HP 80A (CF280A)}" 0.00120838855539097 0.861111111111111 0.00140328993529274 631.169841269841 31
"6" "{HP Z3700 Dual Black Mouse} => {HP ProBook 450 Notebook}" 0.0010134871754892 0.433333333333333 0.00233881655882124 17.1290190035953 26
"8" "{Samsung USB Type-C to Type-C} => {Galaxy S23 Ultra}" 0.0010134871754892 0.5 0.0020269743509784 33.6666666666667 26
"9" "{Samsung USB Type-C to Type-C} => {Google Pixel 8 Pro}" 0.0010134871754892 0.5 0.0020269743509784 15.0905882352941 26
"10" "{Fixed Bullet Network IP Camera} => {24-inch Monitor}" 0.0010134871754892 0.962962962962963 0.00105246745146956 26.0589154555399 26
"11" "{Samsung 25W Fast Charger} => {Galaxy S23 Ultra}" 0.00210493490293911 0.9 0.00233881655882124 60.6 54
"12" "{HP Wireless Keyboard and Mouse 300} => {HP ProBook 450 Notebook}" 0.0015202307632338 0.453488372093023 0.00335230373431044 17.925717561902 39
"13" "{HP Wireless Keyboard and Mouse 300} => {MacBook Pro M2}" 0.00167615186715522 0.5 0.00335230373431044 17.8400556328234 43
"14" "{Hard Drive 8TB} => {8 Channel POE NVR}" 0.00171513214313557 0.916666666666667 0.00187105324705699 283.327309236948 44
"15" "{8 Channel POE NVR} => {Hard Drive 8TB}" 0.00171513214313557 0.530120481927711 0.00323536290636938 283.327309236948 44
"16" "{8-Port Gigabit Desktop/Rackmount Switch} => {8 Channel POE NVR}" 0.00187105324705699 0.786885245901639 0.00237779683480159 243.213904799526 48
"17" "{8 Channel POE NVR} => {8-Port Gigabit Desktop/Rackmount Switch}" 0.00187105324705699 0.578313253012048 0.00323536290636938 243.213904799526 48
