Product,NA,NA
176558,2,
176559,1,
176560,1,
176561,1,
176562,1,
176563,1,
176564,1,
176565,1,
176566,1,
176567,1,
176568,1,
176569,1,
176570,1,
176571,1,
176572,1,
176573,1,
176574,1,
176575,1,
176576,1,
176577,1,
176578,1,
176579,1,
176580,1,
176581,1,
176582,1,
176583,2,
176584,1,
176585,1,
176586,1,
176586,2,
176587,1,
176588,1,
176589,1,
176590,1,
176591,1,
176592,1,
176593,2,
176594,1,
176595,3,
176596,1,
176597,1,
176598,2,
176599,1,
176600,1,
176601,1,
176602,1,
176603,1,
176604,1,
176605,1,
176606,1,
176607,2,
176608,1,
176609,1,
176610,1,
176611,1,
176612,1,
176613,2,
176614,1,
176615,1,
176616,1,
176617,1,
176618,2,
176619,1,
176620,1,
176621,1,
176622,1,
176623,1,
176624,1,
176625,2,
176626,1,
176627,1,
176628,2,
176629,1,
176630,1,
176631,1,
176632,1,
176633,1,
176634,1,
176635,1,
176636,1,
176637,1,
176638,1,
176639,1,
176640,2,
176641,1,
176642,1,
176643,1,
176644,1,
176645,3,
176646,1,
176647,1,
176648,1,
176649,1,
176650,1,
176651,1,
176652,1,
176653,1,
176654,1,
176655,1,
176656,1,
176657,1,
176658,2,
176659,1,
176660,1,
176661,1,
176662,1,
176663,1,
176664,1,
176665,1,
176666,1,
176667,1,
176668,1,
176669,1,
176670,1,
176671,2,
176672,1,
176673,1,
176674,3,
176675,1,
176676,1,
176677,1,
176678,2,
176679,1,
176680,1,
176681,1,
176682,1,
176683,1,
176684,1,
176685,1,
176686,1,
176687,1,
176688,1,
176689,1,
176689,2,
176690,1,
176691,1,
176692,1,
176693,1,
176694,1,
176695,2,
176696,1,
176697,1,
176698,1,
176699,1,
176700,1,
176701,1,
176702,1,
176703,1,
176704,2,
176705,2,
176706,1,
176707,1,
176708,1,
176709,1,
176710,2,
176711,1,
176712,1,
176713,1,
176714,1,
176715,1,
176716,1,
176717,1,
176718,1,
176719,1,
176720,1,
176721,1,
176722,1,
176723,1,
176724,1,
176725,2,
176726,1,
176727,1,
176728,1,
176729,1,
176730,1,
176731,2,
176732,1,
176733,1,
176734,1,
176735,1,
176736,1,
176737,1,
176738,1,
176739,1,
176740,1,
176741,1,
176742,1,
176743,1,
176744,1,
176745,1,
176746,1,
176747,1,
176748,1,
176749,1,
176750,1,
176751,1,
176752,1,
176753,1,
176754,1,
176755,1,
176756,1,
176757,1,
176758,1,
176759,1,
176760,1,
176761,1,
176762,1,
176763,1,
176764,1,
176765,1,
176766,2,
176767,1,
176768,1,
176769,1,
176770,1,
176771,1,
176772,1,
176773,2,
176774,1,
176775,2,
176776,1,
176777,1,
176778,1,
176779,1,
176780,1,
176781,1,
176782,1,
176783,1,
176784,1,
176785,1,
176786,1,
176787,1,
176788,1,
176789,1,
176790,1,
176791,1,
176792,1,
176793,1,
176794,1,
176795,1,
176796,1,
176797,1,
176798,1,
176799,1,
176800,1,
176801,1,
176802,1,
176803,1,
176804,1,
176805,1,
176806,1,
176807,1,
176808,1,
176809,2,
176810,1,
176811,2,
176812,1,
176813,1,
176814,1,
176815,1,
176816,1,
176817,1,
176818,1,
176819,2,
176820,1,
176821,1,
176822,1,
176823,1,
176824,2,
176825,1,
176826,1,
176827,1,
176828,1,
176829,1,
176830,1,
176831,1,
176832,1,
176833,1,
176834,1,
176835,1,
176836,2,
176837,1,
176838,1,
176839,1,
176840,1,
176841,3,
176842,2,
176843,1,
176844,1,
176845,1,
176846,1,
176847,3,
176848,1,
176849,1,
176850,1,
176851,1,
176852,1,
176853,1,
176854,1,
176855,1,
176856,1,
176857,1,
176858,1,
176859,1,
176860,1,
176861,1,
176862,1,
176863,1,
176864,2,
176865,1,
176866,1,
176867,1,
176868,1,
176869,1,
176870,3,
176871,1,
176872,1,
176873,1,
176874,1,
176875,1,
176876,1,
176877,1,
176878,1,
176879,1,
176880,1,
176881,1,
176882,1,
176883,2,
176884,1,
176885,1,
176886,1,
176887,1,
176888,1,
176889,1,
176890,1,
176891,1,
176892,1,
176893,1,
176894,1,
176895,1,
176896,2,
176897,1,
176898,1,
176899,1,
176900,1,
176901,1,
176902,1,
176903,1,
176904,1,
176905,1,
176906,1,
176907,1,
176908,1,
176909,1,
176910,2,
176911,1,
176912,1,
176913,1,
176914,1,
176915,1,
176916,1,
176917,1,
176918,1,
176919,1,
176920,1,
176921,1,
176922,1,
176923,1,
176924,1,
176925,1,
176926,1,
176927,1,
176928,1,
176929,1,
176930,1,
176931,1,
176932,1,
176933,1,
176934,1,
176935,1,
176936,1,
176937,1,
176938,1,
176939,1,
176940,1,
176941,1,
176942,1,
176943,1,
176944,1,
176945,1,
176946,1,
176947,2,
176948,1,
176949,1,
176950,1,
176951,2,
176952,1,
176953,1,
176954,1,
176955,1,
176956,1,
176957,1,
176958,1,
176959,1,
176960,1,
176961,1,
176962,1,
176963,2,
176964,1,
176965,1,
176966,1,
176967,1,
176968,1,
176969,1,
176970,1,
176971,1,
176972,1,
176973,1,
176974,1,
176975,1,
176976,1,
176977,1,
176978,1,
176979,2,
176980,1,
176981,1,
176982,1,
176983,2,
176984,1,
176985,1,
176986,1,
176987,1,
176988,1,
176989,1,
176990,1,
176991,1,
176992,2,
176993,1,
176994,1,
176995,2,
176996,1,
176997,1,
176998,1,
176999,1,
177000,1,
177001,1,
177002,1,
177003,1,
177004,1,
177005,1,
177006,1,
177007,1,
177008,1,
177009,1,
177010,1,
177011,2,
177012,3,
177013,1,
177014,1,
177015,1,
177016,1,
177017,5,
177018,1,
177019,1,
177020,1,
177021,1,
177022,1,
177023,1,
177024,1,
177025,1,
177026,1,
177027,1,
177028,1,
177029,1,
177030,1,
177031,1,
177032,1,
177033,1,
177034,1,
177035,1,
177036,2,
177037,1,
177038,1,
177039,1,
177040,1,
177041,1,
177042,1,
177043,1,
177044,1,
177045,1,
177046,1,
177047,1,
177048,1,
177049,1,
177050,1,
177051,2,
177052,2,
177053,1,
177054,1,
177055,1,
177056,1,
177057,1,
177058,1,
177059,1,
177060,1,
177061,1,
177062,1,
177063,1,
177064,1,
177065,4,
177066,1,
177067,1,
177068,1,
177069,1,
177070,1,
177071,1,
177072,1,
177073,3,
177074,1,
177075,1,
177076,1,
177077,1,
177078,1,
177079,1,
177080,1,
177081,1,
177082,1,
177083,1,
177084,1,
177085,1,
177086,1,
177087,1,
177088,3,
177089,1,
177090,1,
177091,1,
177092,1,
177093,1,
177094,1,
177095,1,
177096,1,
177097,1,
177098,1,
177099,1,
177100,1,
177101,1,
177102,1,
177103,1,
177104,1,
177105,1,
177106,1,
177107,1,
177108,1,
177109,1,
177110,2,
177111,1,
177112,1,
177113,1,
177114,1,
177115,1,
177116,1,
177117,1,
177118,1,
177119,1,
177120,1,
177121,1,
177122,1,
177123,1,
177124,1,
177125,1,
177126,1,
177127,1,
177128,1,
177129,1,
177130,1,
177131,1,
177132,1,
177133,1,
177134,1,
177135,1,
177136,1,
177137,1,
177138,1,
177139,2,
177140,1,
177141,1,
177142,1,
177143,1,
177144,1,
177145,1,
177146,1,
177147,1,
177148,1,
177149,1,
177150,1,
177151,1,
177152,1,
177153,1,
177154,1,
177155,1,
177156,1,
177157,1,
177158,2,
177159,1,
177160,7,
177161,1,
177162,1,
177163,1,
177164,1,
177165,1,
177166,1,
177167,1,
177167,3,
177168,1,
177169,1,
177170,1,
177171,1,
177172,1,
177173,1,
177174,1,
177175,1,
177176,1,
177177,1,
177178,1,
177179,1,
177180,1,
177181,1,
177182,1,
177183,1,
177184,1,
177185,1,
177186,1,
177187,1,
177188,2,
177189,1,
177190,1,
177191,1,
177192,1,
177193,1,
177194,1,
177195,1,
177196,1,
177197,1,
177198,1,
177198,2,
177199,1,
177200,1,
177201,1,
177202,1,
177203,1,
177204,1,
177205,2,
177206,1,
177207,1,
177208,1,
177209,1,
177210,1,
177211,3,
177212,1,
177213,1,
177214,2,
177215,1,
177216,1,
177217,1,
177218,1,
177219,1,
177220,1,
177221,1,
177222,3,
177223,1,
177224,1,
177225,1,
177226,1,
177227,1,
177228,1,
177229,1,
177230,1,
177231,1,
177232,1,
177233,1,
177234,1,
177235,2,
177236,1,
177237,1,
177238,1,
177239,1,
177240,1,
177241,1,
177242,1,
177243,1,
177244,1,
177245,1,
177246,1,
177247,1,
177248,1,
177249,1,
177250,1,
177251,1,
177252,1,
177253,1,
177254,1,
177254,2,
177255,2,
177256,1,
177257,1,
177258,1,
177259,1,
177260,1,
177261,1,
177262,1,
177263,1,
177264,2,
177265,1,
177266,1,
177267,1,
177268,2,
177269,1,
177270,1,
177271,1,
177272,2,
177273,1,
177274,1,
177275,2,
177276,1,
177277,1,
177278,1,
177279,1,
177280,1,
177281,1,
177282,1,
177283,1,
177284,1,
177285,1,
177286,1,
177287,2,
177288,1,
177289,1,
177290,1,
177291,1,
177292,1,
177293,3,
177294,1,
177295,2,
177296,1,
177297,1,
177298,1,
177299,1,
177300,1,
177301,1,
177302,1,
177303,1,
177304,1,
177305,1,
177306,1,
177307,1,
177308,2,
177309,1,
177310,1,
177311,1,
177312,3,
177313,1,
177314,1,
177315,1,
177316,1,
177317,1,
177318,1,
177319,1,
177320,1,
177321,1,
177322,1,
177323,1,
177324,1,
177325,1,
177326,1,
177327,1,
177328,1,
177329,1,
177330,1,
177331,1,
177332,1,
177333,1,
177334,1,
177335,1,
177336,1,
177337,1,
177338,1,
177339,1,
177340,1,
177341,2,
177342,1,
177343,1,
177344,1,
177345,1,
177346,1,
177347,1,
177348,1,
177349,1,
177350,1,
177351,1,
177352,1,
177353,1,
177354,1,
177355,1,
177356,1,
177357,1,
177358,1,
177359,1,
177360,2,
177361,2,
177362,1,
177363,1,
177364,1,
177365,1,
177366,1,
177367,1,
177368,1,
177369,1,
177370,1,
177371,1,
177372,1,
177373,1,
177374,1,
177375,1,
177376,1,
177377,1,
177378,1,
177379,1,
177380,1,
177381,1,
177382,1,
177383,1,
177384,1,
177385,1,
177386,1,
177387,1,
177388,1,
177389,2,
177390,1,
177391,1,
177392,1,
177393,1,
177394,1,
177395,1,
177396,1,
177397,1,
177398,1,
177399,1,
177400,2,
177401,1,
177402,2,
177403,1,
177404,1,
177405,1,
177406,2,
177407,1,
177408,1,
177409,1,
177410,1,
177411,1,
177412,1,
177413,1,
177414,1,
177415,1,
177416,1,
177417,1,
177418,1,
177419,1,
177420,1,
177421,1,
177422,1,
177423,1,
177424,1,
177425,1,
177426,1,
177427,1,
177428,1,
177429,1,
177430,1,
177431,2,
177432,1,
177433,1,
177434,1,
177435,1,
177436,1,
177437,1,
177438,1,
177439,1,
177440,1,
177441,1,
177442,1,
177443,1,
177444,1,
177445,1,
177446,1,
177447,3,
177448,1,
177449,1,
177450,1,
177451,1,
177452,1,
177453,1,
177454,1,
177455,1,
177456,1,
177457,1,
177458,1,
177459,1,
177460,2,
177461,1,
177462,1,
177463,1,
177464,1,
177465,1,
177466,1,
177467,1,
177468,1,
177469,1,
177470,1,
177471,1,
177472,1,
177473,1,
177474,1,
177475,3,
177476,1,
177477,1,
177478,1,
177479,1,
177480,1,
177481,1,
177482,1,
177483,1,
177484,1,
177485,1,
177486,1,
177487,1,
177488,1,
177489,1,
177490,3,
177491,1,
177492,1,
177493,1,
177494,1,
177495,1,
177496,1,
177497,1,
177498,1,
177499,1,
177500,1,
177501,1,
177502,2,
177503,1,
177504,1,
177505,1,
177506,1,
177507,1,
177508,1,
177509,1,
177510,1,
177511,1,
177512,2,
177513,1,
177514,1,
177515,1,
177516,1,
177517,1,
177518,1,
177519,1,
177520,1,
177521,1,
177522,1,
177523,1,
177524,1,
177525,2,
177526,1,
177527,2,
177528,1,
177529,1,
177530,1,
177531,1,
177532,2,
177533,1,
177534,1,
177535,1,
177536,1,
177537,1,
177538,1,
177539,1,
177540,1,
177541,1,
177542,1,
177543,1,
177544,1,
177545,1,
177546,2,
177547,1,
177548,1,
177549,1,
177550,1,
177551,1,
177552,1,
177553,1,
177554,1,
177555,1,
177556,1,
177557,1,
177558,1,
177559,1,
177560,1,
177561,1,
177562,1,
177563,1,
177564,1,
177565,2,
177566,1,
177567,1,
177568,1,
177569,1,
177570,1,
177571,3,
177572,1,
177573,1,
177574,2,
177575,2,
177576,2,
177577,1,
177578,1,
177579,1,
177580,1,
177581,1,
177582,1,
177583,1,
177584,1,
177585,1,
177586,1,
177587,1,
177588,1,
177589,1,
177590,1,
177591,1,
177592,1,
177592,2,
177593,1,
177594,1,
177595,1,
177596,1,
177597,1,
177598,1,
177599,1,
177600,1,
177601,1,
177602,1,
177603,1,
177604,1,
177605,1,
177606,1,
177607,1,
177608,1,
177609,1,
177610,1,
177611,1,
177612,1,
177613,1,
177614,1,
177615,1,
177616,1,
177617,1,
177618,1,
177619,1,
177620,1,
177621,1,
177622,3,
177623,1,
177624,1,
177625,2,
177626,1,
177627,1,
177628,1,
177629,1,
177630,1,
177631,1,
177632,1,
177633,1,
177634,1,
177635,1,
177636,1,
177637,1,
177638,1,
177639,3,
177640,1,
177641,1,
177642,2,
177643,2,
177644,1,
177645,1,
177646,1,
177647,1,
177648,1,
177649,1,
177650,1,
177651,2,
177652,1,
177653,1,
177654,3,
177655,1,
177656,1,
177657,1,
177658,1,
177659,1,
177660,1,
177661,1,
177662,1,
177663,1,
177664,1,
177665,1,
177666,1,
177667,1,
177668,1,
177669,1,
177670,1,
177671,1,
177672,1,
177673,1,
177674,1,
177675,1,
177676,1,
177677,1,
177678,1,
177679,1,
177680,1,
177681,1,
177682,1,
177683,1,
177684,2,
177685,1,
177686,1,
177687,1,
177688,1,
177689,3,
177690,1,
177691,1,
177692,1,
177693,1,
177694,1,
177695,1,
177696,2,
177697,1,
177698,2,
177699,1,
177700,1,
177701,1,
177702,1,
177703,1,
177704,1,
177705,1,
177706,1,
177707,1,
177708,1,
177709,1,
177710,1,
177711,1,
177712,1,
177713,1,
177714,1,
177715,1,
177716,2,
177717,1,
177718,1,
177719,1,
177720,1,
177721,1,
177722,1,
177723,2,
177724,1,
177725,1,
177726,1,
177727,1,
177728,1,
177729,1,
177730,1,
177731,1,
177732,1,
177733,1,
177734,1,
177735,1,
177736,1,
177737,1,
177738,1,
177739,1,
177740,1,
177741,1,
177742,1,
177743,1,
177744,1,
177745,1,
177746,1,
177747,2,
177748,1,
177749,1,
177750,1,
177751,1,
177752,1,
177753,1,
177754,1,
177755,1,
177756,1,
177757,4,
177758,1,
177759,2,
177760,1,
177761,1,
177762,1,
177763,1,
177764,2,
177765,2,
177766,1,
177767,1,
177768,1,
177769,1,
177770,1,
177771,1,
177772,1,
177773,1,
177774,1,
177775,1,
177776,1,
177777,1,
177778,1,
177779,1,
177780,1,
177781,1,
177782,1,
177782,2,
177783,1,
177784,1,
177785,1,
177786,1,
177787,2,
177788,1,
177789,1,
177790,1,
177791,1,
177792,1,
177793,1,
177794,2,
177795,1,
177796,1,
177797,1,
177798,1,
177799,1,
177800,1,
177801,1,
177802,1,
177803,1,
177804,1,
177805,1,
177806,1,
177807,1,
177808,1,
177809,1,
177810,1,
177811,1,
177812,1,
177813,1,
177814,1,
177815,1,
177816,1,
177817,1,
177818,1,
177819,1,
177820,1,
177821,1,
177822,1,
177823,1,
177824,1,
177825,1,
177826,1,
177827,1,
177828,3,
177829,1,
177830,1,
177831,1,
177832,1,
177833,1,
177834,1,
177835,1,
177836,1,
177837,1,
177838,6,
177839,1,
177840,1,
177841,1,
177842,1,
177843,1,
177844,1,
177845,1,
177846,1,
177847,1,
177848,1,
177849,1,
177850,1,
177851,1,
177852,1,
177853,1,
177854,1,
177855,1,
177856,1,
177857,1,
177858,1,
177859,1,
177860,1,
177861,1,
177862,1,
177863,1,
177864,1,
177865,1,
177866,2,
177867,1,
177868,1,
177869,1,
177870,1,
177871,2,
177872,1,
177873,1,
177874,1,
177875,1,
177876,1,
177877,1,
177878,1,
177879,1,
177880,1,
177881,1,
177882,1,
177883,1,
177884,1,
177885,1,
177886,1,
177887,1,
177888,1,
177889,1,
177890,1,
177891,1,
177892,1,
177893,1,
177894,1,
177895,1,
177896,2,
177897,1,
177898,1,
177899,1,
177900,2,
177901,1,
177902,1,
177903,1,
177904,1,
177905,1,
177906,1,
177907,1,
177908,1,
177909,1,
177910,1,
177911,1,
177912,1,
177913,1,
177914,1,
177915,1,
177916,1,
177917,1,
177918,1,
177919,1,
177920,1,
177921,2,
177922,2,
177923,1,
177924,1,
177925,1,
177926,1,
177927,1,
177928,2,
177929,1,
177930,1,
177931,1,
177932,1,
177933,2,
177934,1,
177935,1,
177936,1,
177937,1,
177938,1,
177939,1,
177940,1,
177941,1,
177942,1,
177943,1,
177944,1,
177945,2,
177946,1,
177947,1,
177948,1,
177949,1,
177950,1,
177951,1,
177952,1,
177953,1,
177954,1,
177955,1,
177956,1,
177957,1,
177958,1,
177959,1,
177960,1,
177961,1,
177962,1,
177963,1,
177964,1,
177965,2,
177966,1,
177967,1,
177968,1,
177969,1,
177970,1,
177971,1,
177972,1,
177973,1,
177974,1,
177975,3,
177976,1,
177977,1,
177978,1,
177979,2,
177980,1,
177981,1,
177982,1,
177983,1,
177984,1,
177985,1,
177986,1,
177987,1,
177988,1,
177989,2,
177990,1,
177991,1,
177992,1,
177993,3,
177994,1,
177995,3,
177996,1,
177997,1,
177998,1,
177999,1,
178000,1,
178001,1,
178002,1,
178003,1,
178004,2,
178005,1,
178006,1,
178007,1,
178008,1,
178009,1,
178010,1,
178011,2,
178012,2,
178013,1,
178014,1,
178015,1,
178016,1,
178017,1,
178018,1,
178019,1,
178020,1,
178021,1,
178022,1,
178023,1,
178024,1,
178025,1,
178026,1,
178027,1,
178028,1,
178029,1,
178030,1,
178031,1,
178032,1,
178033,1,
178034,1,
178035,1,
178036,1,
178037,3,
178038,1,
178039,1,
178040,4,
178041,1,
178042,1,
178043,1,
178044,2,
178045,1,
178046,1,
178047,1,
178048,1,
178049,2,
178050,2,
178051,1,
178052,1,
178053,1,
178054,1,
178055,1,
178056,1,
178057,1,
178058,1,
178059,1,
178060,1,
178061,1,
178062,1,
178063,1,
178064,1,
178065,1,
178066,1,
178067,1,
178068,1,
178069,1,
178070,1,
178071,5,
178072,1,
178073,1,
178074,2,
178075,1,
178076,1,
178077,1,
178078,2,
178079,1,
178080,1,
178081,1,
178082,1,
178083,1,
178084,1,
178085,2,
178086,1,
178087,1,
178088,1,
178089,1,
178090,1,
178091,1,
178092,2,
178093,1,
178094,1,
178095,1,
178096,1,
178097,1,
178098,1,
178099,2,
178100,1,
178101,1,
178102,1,
178103,1,
178104,1,
178105,1,
178106,1,
178107,1,
178108,1,
178109,1,
178110,1,
178111,1,
178112,1,
178113,1,
178114,1,
178115,1,
178116,1,
178117,1,
178118,1,
178119,1,
178120,1,
178121,1,
178122,3,
178123,1,
178124,1,
178125,1,
178126,1,
178127,1,
178128,1,
178129,1,
178130,1,
178131,1,
178132,4,
178133,1,
178134,1,
178135,1,
178135,2,
178136,1,
178137,1,
178137,2,
178138,1,
178139,1,
178140,1,
178141,1,
178142,1,
178143,1,
178144,1,
178145,1,
178146,1,
178147,1,
178148,1,
178149,2,
178150,1,
178151,1,
178152,1,
178153,1,
178154,1,
178155,1,
178156,1,
178157,1,
178158,1,
178159,1,
178160,1,
178161,1,
178162,1,
178163,1,
178164,1,
178165,1,
178166,1,
178167,2,
178168,1,
178169,1,
178170,1,
178171,1,
178172,1,
178173,1,
178174,1,
178175,1,
178176,1,
178177,1,
178178,1,
178179,1,
178180,1,
178181,1,
178182,1,
178183,2,
178184,1,
178185,1,
178186,1,
178187,1,
178188,1,
178189,1,
178190,1,
178191,1,
178192,1,
178193,1,
178194,1,
178195,1,
178196,1,
178197,1,
178198,1,
178199,1,
178200,1,
178201,1,
178202,1,
178203,1,
178204,1,
178205,2,
178206,1,
178207,2,
178208,1,
178209,1,
178210,1,
178211,1,
178212,1,
178213,1,
178214,1,
178215,1,
178216,1,
178217,5,
178218,1,
178219,2,
178220,1,
178221,1,
178222,1,
178223,1,
178224,1,
178225,1,
178226,1,
178227,2,
178228,1,
178229,1,
178230,2,
178231,1,
178232,1,
178233,1,
178234,1,
178235,1,
178236,1,
178237,1,
178238,1,
178239,1,
178240,1,
178241,2,
178242,1,
178243,1,
178244,1,
178245,1,
178246,1,
178247,1,
178248,1,
178249,1,
178250,1,
178251,1,
178252,1,
178253,2,
178254,1,
178255,1,
178256,1,
178257,1,
178258,1,
178259,1,
178260,1,
178261,2,
178262,1,
178263,1,
178264,1,
178265,2,
178266,3,
178267,1,
178268,1,
178269,1,
178270,1,
178271,1,
178272,1,
178273,1,
178274,1,
178275,1,
178276,1,
178277,1,
178278,1,
178279,1,
178280,1,
178281,1,
178282,1,
178283,1,
178284,1,
178285,1,
178286,2,
178287,1,
178288,1,
178289,1,
178290,1,
178290,2,
178291,1,
178292,1,
178293,1,
178294,1,
178295,1,
178296,4,
178297,1,
178298,1,
178299,1,
178300,1,
178301,2,
178302,1,
178303,1,
178304,4,
178305,1,
178306,1,
178307,1,
178308,1,
178309,2,
178310,1,
178311,2,
178312,1,
178313,1,
178314,1,
178315,1,
178316,1,
178317,1,
178318,1,
178319,1,
178320,1,
178321,1,
178322,1,
178323,1,
178324,1,
178325,1,
178326,1,
178327,1,
178328,1,
178329,1,
178330,1,
178331,1,
178332,1,
178333,2,
178334,2,
178335,1,
178336,1,
178337,1,
178338,1,
178339,1,
178340,3,
178341,1,
178342,1,
178343,1,
178344,1,
178345,1,
178346,1,
178347,1,
178348,2,
178349,1,
178350,1,
178351,1,
178352,1,
178353,1,
178354,1,
178355,1,
178356,1,
178357,1,
178358,1,
178359,1,
178360,1,
178361,1,
178362,1,
178363,1,
178364,1,
178365,1,
178366,1,
178367,1,
178368,2,
178369,1,
178370,1,
178371,1,
178372,1,
178373,1,
178374,1,
178375,1,
178376,1,
178377,1,
178378,1,
178379,1,
178380,1,
178381,1,
178382,1,
178383,1,
178384,2,
178385,1,
178386,1,
178387,1,
178388,1,
178389,1,
178390,1,
178391,4,
178392,1,
178393,1,
178394,1,
178395,1,
178396,1,
178397,1,
178398,1,
178399,1,
178400,1,
178401,1,
178402,1,
178403,1,
178404,1,
178405,1,
178406,1,
178407,1,
178408,1,
178409,1,
178410,1,
178411,1,
178412,1,
178413,1,
178414,1,
178415,1,
178416,1,
178417,2,
178418,5,
178419,1,
178420,1,
178421,1,
178422,1,
178423,1,
178424,1,
178425,1,
178426,1,
178427,1,
178428,1,
178429,1,
178430,2,
178431,1,
178432,1,
178433,1,
178434,2,
178435,1,
178436,1,
178437,1,
178438,1,
178439,1,
178440,1,
178441,1,
178442,2,
178443,1,
178444,2,
178445,1,
178446,1,
178447,1,
178448,1,
178449,1,
178450,1,
178451,2,
178452,1,
178453,1,
178454,1,
178455,1,
178456,1,
178457,2,
178458,1,
178459,1,
178460,2,
178461,1,
178462,1,
178463,1,
178464,2,
